Word,Translation,Part of Speech,Example Sentence,Example Translation
actual,แท้จริง,adj.,"""The actual price of the item was lower than I thought.""","""ราคาจริงของสินค้าต่ำกว่าที่ฉันคิด"""
adapt,ปรับ,v.,"""We need to adapt to the changing circumstances.""","""เราจำเป็นต้องปรับตัวให้เข้ากับสถานการณ์ที่เปลี่ยนแปลงไป"""
addiction,ติดยาเสพติด,n.,"""Overcoming addiction can be a challenging journey.""","""การเอาชนะการเสพติดอาจเป็นการเดินทางที่ท้าทาย"""
additional,เพิ่มเติม,adj.,"""We may need additional information to complete the task.""","""เราอาจต้องการข้อมูลเพิ่มเติมเพื่อทำงานให้เสร็จสิ้น"""
additionally,นอกจากนี้,adv.,"""Additionally, we can discuss other options.""","""นอกจากนี้ เรายังพูดคุยถึงทางเลือกอื่นๆ ได้ด้วย"""
address,ที่อยู่,v.,"""Please provide your current address.""","""กรุณาระบุที่อยู่ปัจจุบันของคุณ"""
adequate,เพียงพอ,adj.,"""Is your budget adequate for this project?""","""งบประมาณของคุณเพียงพอสำหรับโครงการนี้หรือไม่?"""
adequately,อย่างเพียงพอ,adv.,"""She handled the situation adequately.""","""เธอจัดการกับสถานการณ์ได้อย่างเหมาะสม"""
adjust,ปรับ,v.,"""We can adjust the settings to improve performance.""","""เราสามารถปรับการตั้งค่าเพื่อปรับปรุงประสิทธิภาพได้"""
administration,การบริหาร,n.,"""The administration is responsible for managing the organization.""","""ฝ่ายบริหารมีหน้าที่รับผิดชอบในการจัดการองค์กร"""
adopt,รับเลี้ยง,v.,"""They decided to adopt a rescue dog.""","""พวกเขาตัดสินใจรับเลี้ยงสุนัขกู้ภัย"""
advance,ก้าวหน้า,n./ v./ adj.,"""Technological advances have transformed our lives.""","""ความก้าวหน้าทางเทคโนโลยีได้เปลี่ยนแปลงชีวิตของเรา"""
affair,ธุระ,n.,"""Their affair remained a secret for years.""","""ความสัมพันธ์ของพวกเขายังคงเป็นความลับมานานหลายปี"""
affordable,ซื้อได้,adj.,"""This restaurant offers affordable prices.""","""ร้านอาหารแห่งนี้เสนอราคาที่ไม่แพง"""
afterwards,หลังจากนั้น,adv.,"""We'll meet at the park, and afterwards, we can go to the movies.""","""เราจะพบกันที่สวนสาธารณะและหลังจากนั้นเราก็ไปดูหนังกัน"""
agency,เอเจนซี่,n.,"""The government agency is responsible for environmental protection.""","""หน่วยงานของรัฐมีหน้าที่รับผิดชอบในการปกป้องสิ่งแวดล้อม"""
agenda,กำหนดการ,n.,"""The agenda for the meeting is packed with important topics.""","""วาระการประชุมเต็มไปด้วยหัวข้อสำคัญ"""
aggressive,ก้าวร้าว,adj.,"""His aggressive behavior made others uncomfortable.""","""พฤติกรรมก้าวร้าวของเขาทำให้คนอื่นไม่สบายใจ"""
agriculture,เกษตรกรรม,n.,"""Agriculture is a vital industry in this region.""","""เกษตรกรรมเป็นอุตสาหกรรมที่สำคัญในภูมิภาคนี้"""
aid,ความช่วยเหลือ,n./ v.,"""Humanitarian aid is sent to disaster-stricken areas.""","""ความช่วยเหลือด้านมนุษยธรรมถูกส่งไปยังพื้นที่ประสบภัยพิบัติ"""
AIDS,เอดส์,n.,"""AIDS is a serious health condition.""","""โรคเอดส์ถือเป็นภาวะสุขภาพที่ร้ายแรง"""
aircraft,อากาศยาน,n.,"""The aircraft took off smoothly.""","""เครื่องบินก็บินขึ้นอย่างราบรื่น"""
alarm,เตือน,v.,"""The alarm rang loudly in the building.""","""เสียงสัญญาณเตือนภัยดังขึ้นในอาคาร"""
alien,คนต่างด้าว,n.,"""Some people believe in the existence of alien life.""","""บางคนเชื่อเรื่องการมีอยู่ของสิ่งมีชีวิตต่างดาว"""
alongside,ควบคู่ไปกับ,prep.,"""She worked alongside her colleagues to complete the project.""","""เธอทำงานร่วมกับเพื่อนร่วมงานเพื่อทำโปรเจ็กต์นี้ให้เสร็จสิ้น"""
alter,เปลี่ยนแปลง,v.,"""We need to alter our plans due to bad weather.""","""เราจำเป็นต้องเปลี่ยนแผนของเราเนื่องจากสภาพอากาศเลวร้าย"""
altogether,โดยสิ้นเชิง,adv.,"""Let's stop this altogether.""","""เรามาหยุดเรื่องนี้กันโดยสิ้นเชิง"""
ambulance,รถพยาบาล,n.,"""The ambulance rushed to the scene of the accident.""","""รถพยาบาลรีบไปยังที่เกิดเหตุ"""
amount,จำนวน,v.,"""Please provide the exact amount of money.""","""กรุณาระบุจำนวนเงินที่แน่นอน"""
amusing,น่าขบขัน,adj.,"""His jokes are always amusing.""","""เรื่องตลกของเขาน่าขบขันอยู่เสมอ"""
analyst,นักวิเคราะห์,n.,"""The financial analyst examined the company's records.""","""นักวิเคราะห์ทางการเงินตรวจสอบบันทึกของบริษัท"""
ancestor,บรรพบุรุษ,n.,"""My ancestors came from a distant land.""","""บรรพบุรุษของฉันมาจากดินแดนอันห่างไกล"""
anger,ความโกรธ,n.,"""His anger flared up after the argument.""","""ความโกรธของเขาปะทุขึ้นหลังจากการโต้เถียง"""
angle,มุม,n.,"""The camera was at an unusual angle.""","""กล้องอยู่ในมุมที่ไม่ธรรมดา"""
animation,แอนิเมชั่น,n.,"""The animation in the movie was captivating.""","""แอนิเมชั่นในภาพยนตร์เรื่องนี้น่าติดตาม"""
anniversary,วันครบรอบปี,n.,"""They celebrated their 25th wedding anniversary.""","""พวกเขาฉลองวันครบรอบแต่งงาน 25 ปี"""
annual,ประจำปี,adj.,"""The annual report is due next week.""","""รายงานประจำปีจะครบกำหนดในสัปดาห์หน้า"""
anticipate,คาดหวัง,v.,"""I anticipate a great turnout at the event.""","""ฉันคาดหวังว่าจะมีผู้เข้าร่วมงานจำนวนมากในงานนี้"""
anxiety,ความวิตกกังวล,n.,"""Anxiety can cause feelings of unease.""","""ความวิตกกังวลอาจทำให้รู้สึกไม่สบายใจ"""
apology,ขอโทษ,n.,"""He offered a heartfelt apology.""","""เขาเสนอคำขอโทษอย่างจริงใจ"""
apparent,ชัดเจน,adj.,"""The problem became apparent over time.""","""ปัญหาเริ่มปรากฏให้เห็นเมื่อเวลาผ่านไป"""
apparently,เห็นได้ชัดว่า,adv.,"""Apparently, the store is closed on Sundays.""","""ปรากฏว่าร้านปิดวันอาทิตย์"""
appeal,อุทธรณ์,n./ v.,"""Her appeal for help was heard by many.""","""หลายคนได้ยินคำร้องขอความช่วยเหลือของเธอ"""
applicant,ผู้สมัคร,n.,"""The applicant submitted a strong resume.""","""ผู้สมัครส่งเรซูเม่ที่แข็งแกร่ง"""
approach,เข้าใกล้,n./ v.,"""Let's approach the problem from a different angle.""","""เรามาแก้ไขปัญหาจากมุมที่ต่างออกไป"""
appropriate,เหมาะสม,adj.,"""It's appropriate to wear formal attire to the event.""","""เหมาะสมที่จะสวมชุดที่เป็นทางการไปร่วมงาน"""
approve,อนุมัติ,v.,"""The board will approve the project proposal.""","""คณะกรรมการจะอนุมัติข้อเสนอโครงการ"""
arise,เกิดขึ้น,v.,"""Challenges can arise unexpectedly.""","""ความท้าทายอาจเกิดขึ้นโดยไม่คาดคิด"""
arrow,ลูกศร,n.,"""He shot the arrow with precision.""","""เขายิงธนูอย่างแม่นยำ"""
artificial,เทียม,adj.,"""Artificial intelligence is advancing rapidly.""","""ปัญญาประดิษฐ์กำลังก้าวหน้าอย่างรวดเร็ว"""
artistic,ศิลปะ,adj.,"""Her artistic talents shine through her paintings.""","""ความสามารถทางศิลปะของเธอเปล่งประกายผ่านภาพวาดของเธอ"""
artwork,งานศิลปะ,n.,"""The artwork on display was truly remarkable.""","""งานศิลปะที่จัดแสดงนั้นน่าทึ่งอย่างแท้จริง"""
ashamed,ละอาย,adj.,"""She felt ashamed of her actions.""","""เธอรู้สึกละอายใจกับการกระทำของเธอ"""
aside,กัน,adv.,"""Put your worries aside and enjoy the moment.""","""วางความกังวลของคุณไว้ข้างๆ แล้วเพลิดเพลินไปกับช่วงเวลานั้น"""
aspect,ด้าน,n.,"""Consider every aspect of the situation.""","""พิจารณาทุกแง่มุมของสถานการณ์"""
assess,ประเมิน,v.,"""We need to assess the damage.""","""เราจำเป็นต้องประเมินความเสียหาย"""
asset,สินทรัพย์,n.,"""The house is a valuable asset.""","""บ้านเป็นทรัพย์สินอันมีค่า"""
assign,กำหนด,v.,"""They will assign tasks to different teams.""","""พวกเขาจะมอบหมายงานให้กับทีมต่างๆ"""
assistance,ความช่วยเหลือ,n.,"""Thank you for your assistance.""","""ขอบคุณสำหรับความช่วยเหลือของคุณ"""
associate,เชื่อมโยง,v.,"""He's my associate in the business.""","""เขาเป็นเพื่อนร่วมงานของฉันในธุรกิจ"""
assume,สมมติ,v.,"""Don't assume you know everything.""","""อย่าคิดว่าคุณรู้ทุกอย่าง"""
assure,รับรอง,v.,"""I can assure you, it will be a fantastic show.""","""ฉันรับรองได้เลยว่ามันจะเป็นการแสดงที่ยอดเยี่ยม"""
astonishing,น่าประหลาดใจ,adj.,"""The magician's tricks were astonishing.""","""กลอุบายของนักมายากลนั้นน่าทึ่งมาก"""
attachment,สิ่งที่แนบมา,n.,"""Please check the attachment to the email.""","""กรุณาตรวจสอบสิ่งที่แนบมากับอีเมล์"""
attempt,พยายาม,n./ v.,"""I'll attempt to solve the puzzle.""","""ฉันจะพยายามไขปริศนา"""
auction,ประมูล,n.,"""They held an auction to sell rare items.""","""พวกเขาจัดการประมูลเพื่อขายของหายาก"""
audio,เสียง,adj.,"""The audio quality of the recording is excellent.""","""คุณภาพเสียงของการบันทึกนั้นยอดเยี่ยม"""
automatic,อัตโนมัติ,adj.,"""The automatic door opened as we approached.""","""ประตูอัตโนมัติเปิดออกเมื่อเราเข้าใกล้"""
awareness,การรับรู้,n.,"""Awareness of environmental issues is growing.""","""ความตระหนักรู้เกี่ยวกับปัญหาสิ่งแวดล้อมมีเพิ่มมากขึ้น"""
awkward,งุ่มง่าม,adj,"""It was an awkward situation to be in.""","""มันเป็นสถานการณ์ที่น่าอึดอัดใจที่ได้เข้ามา"""
bacteria,แบคทีเรีย,n.,"""Bacteria can cause illness if not properly handled.""","""แบคทีเรียอาจทำให้เกิดอาการเจ็บป่วยได้หากไม่จัดการอย่างเหมาะสม"""
barrier,สิ่งกีดขวาง,n.,"""The wall acts as a barrier between the rooms.""","""ผนังทำหน้าที่เป็นกำแพงกั้นระหว่างห้อง"""
basically,โดยพื้นฐานแล้ว,adv.,"""Basically, it's a simple process.""","""โดยพื้นฐานแล้ว มันเป็นกระบวนการง่ายๆ"""
battle,การต่อสู้,v.,"""The battle raged on for hours.""","""การต่อสู้ดำเนินไปเป็นเวลาหลายชั่วโมง"""
bear,หมี,(deal with) v.,"""A bear wandered into the campsite.""","""หมีตัวหนึ่งเดินเข้าไปในที่ตั้งแคมป์"""
beat,ตี,n.,"""The rhythm of the drums beat loudly.""","""จังหวะกลองก็ตีเสียงดัง"""
beg,ขอ,v.,"""He had to beg for forgiveness.""","""เขาต้องขอการอภัย"""
being,สิ่งมีชีวิต,n.,"""Being kind to others is important.""","""การใจดีต่อผู้อื่นเป็นสิ่งสำคัญ"""
bent,งอ,adj.,"""The metal rod was bent out of shape.""","""แท่งโลหะงอผิดรูป"""
bet,เดิมพัน,v./ n.,"""I'll bet you can't guess the answer.""","""ฉันพนันได้เลยว่าคุณไม่สามารถเดาคำตอบได้"""
beyond,เกิน,prep./ adv.,"""Their love goes beyond words.""","""ความรักของพวกเขาเกินกว่าคำพูด"""
bitter,ขม,adj.,"""The bitter taste of the medicine made him cringe.""","""รสขมของยาทำให้เขาสะดุ้ง"""
blame,ตำหนิ,v./ n.,"""Don't blame yourself for the mistake.""","""อย่าโทษตัวเองที่ผิดพลาด"""
blind,ตาบอด,adj.,"""She's blind but has a strong sense of hearing.""","""เธอตาบอดแต่มีประสาทสัมผัสในการได้ยินที่แข็งแกร่ง"""
bond,พันธบัตร,n.,"""The bond between the two friends was unbreakable.""","""ความผูกพันระหว่างเพื่อนสองคนนั้นไม่อาจแตกหักได้"""
border,ชายแดน,v.,"""The border between the two countries is heavily guarded.""","""พรมแดนระหว่างทั้งสองประเทศได้รับการปกป้องอย่างแน่นหนา"""
breast,หน้าอก,n.,"""She nursed her baby at her breast.""","""เธอเลี้ยงลูกด้วยอกของเธอ"""
brief,รวบรัด,adj.,"""I'll give you a brief overview of the plan.""","""ฉันจะให้ภาพรวมโดยย่อของแผนแก่คุณ"""
broad,กว้างๆ,adj.,"""The road ahead is broad and well-maintained.""","""ถนนข้างหน้ากว้างและได้รับการดูแลอย่างดี"""
broadcast,ออกอากาศ,v./ n.,"""The news will be broadcast live tonight.""","""ข่าวจะถ่ายทอดสดคืนนี้"""
budget,งบประมาณ,n.,"""We need to stick to our budget.""","""เราจำเป็นต้องยึดติดกับงบประมาณของเรา"""
bullet,กระสุน,n.,"""The bullet hit the target with precision.""","""กระสุนเข้าเป้าอย่างแม่นยำ"""
bunch,กลุ่ม,n.,"""He picked a bunch of flowers for his girlfriend.""","""เขาเก็บช่อดอกไม้ให้แฟนสาวของเขา"""
burn,เผา,n.,"""Be careful; the fire can burn you.""","""ระวัง; ไฟสามารถเผาไหม้คุณได้"""
bush,พุ่มไม้,n.,"""The path through the bush was challenging to navigate.""","""เส้นทางผ่านพุ่มไม้นั้นท้าทายในการนำทาง"""
badge,ป้ายสถานะ,n.,"""The officer displayed his badge.""","""เจ้าหน้าที่ก็แสดงตราสัญลักษณ์ของเขา"""
balanced,สมดุล,adj.,"""A balanced diet is essential for good health.""","""อาหารที่สมดุลเป็นสิ่งจำเป็นสำหรับสุขภาพที่ดี"""
ballet,บัลเล่ต์,n.,"""She excels in ballet dancing.""","""เธอเก่งในการเต้นบัลเล่ต์"""
balloon,บอลลูน,n.,"""The children watched the balloon float away.""","""เด็กๆ เฝ้าดูบอลลูนลอยออกไป"""
barely,แทบจะไม่,adv.,"""He barely had time to finish his work.""","""เขาแทบไม่มีเวลาทำงานให้เสร็จ"""
bargain,ต่อรอง,n.,"""They negotiated a good bargain at the market.""","""พวกเขาเจรจาต่อรองราคาที่ดีที่ตลาด"""
basement,ชั้นใต้ดิน,n.,"""The storage room is in the basement.""","""ห้องเก็บของอยู่ที่ชั้นใต้ดิน"""
basket,ตะกร้า,n.,"""Put the apples in the basket.""","""ใส่แอปเปิ้ลลงในตะกร้า"""
bat,ค้างคาว,n.,"""The bat flew silently through the night.""","""ค้างคาวบินอย่างเงียบ ๆ ตลอดทั้งคืน"""
beneficial,เป็นประโยชน์,adj.,"""Regular exercise is beneficial for your health.""","""การออกกำลังกายเป็นประจำมีประโยชน์ต่อสุขภาพของคุณ"""
beside,ข้าง,prep.,"""Stand beside me; we'll face this together.""","""ยืนอยู่ข้างฉัน เราจะเผชิญสิ่งนี้ด้วยกัน"""
besides,นอกจาก,prep./ adv.,"""Besides the main course, there will be dessert.""","""นอกจากอาหารจานหลักแล้วยังมีของหวานด้วย"""
bias,อคติ,n.,"""Avoid bias when making decisions.""","""หลีกเลี่ยงอคติในการตัดสินใจ"""
bid,เสนอราคา,n./ v.,"""He made a bid in the auction.""","""เขาเสนอราคาในการประมูล"""
biological,ทางชีวภาพ,adj.,"""Biological research can lead to important discoveries.""","""การวิจัยทางชีววิทยาสามารถนำไปสู่การค้นพบที่สำคัญ"""
blanket,ผ้าห่ม,n.,"""She covered herself with a warm blanket.""","""เธอคลุมตัวเองด้วยผ้าห่มอุ่น ๆ"""
blow,เป่า,n.,"""A strong gust of wind can blow objects away.""","""ลมกระโชกแรงสามารถพัดวัตถุออกไปได้"""
bold,ตัวหนา,adj.,"""Her bold personality shines in social situations.""","""บุคลิกที่กล้าหาญของเธอเปล่งประกายในสถานการณ์ทางสังคม"""
bombing,การวางระเบิด,n.,"""The city was devastated by the bombing.""","""เมืองได้รับความเสียหายจากระเบิด"""
booking,การจอง,n.,"""Have you made a booking for the restaurant?""","""คุณได้จองร้านอาหารแล้วหรือยัง?"""
boost,เพิ่ม,v./ n.,"""A cup of coffee can give you a quick energy boost.""","""กาแฟหนึ่งแก้วช่วยเพิ่มพลังงานได้อย่างรวดเร็ว"""
bound,ผูกพัน,adj.,"""The book is bound in leather.""","""หนังสือเข้าเล่มเป็นหนัง"""
brick,อิฐ,n.,"""The house was made of red brick.""","""ตัวบ้านสร้างด้วยอิฐแดง"""
briefly,สั้น ๆ,adv.,"""Let me explain briefly.""","""ให้ฉันอธิบายสั้น ๆ"""
broadcaster,ผู้ประกาศข่าว,n.,"""The broadcaster announced the breaking news.""","""ผู้ประกาศข่าวได้ประกาศข่าวด่วน"""
broadly,กว้างๆ,adv.,"""He speaks broadly about various topics.""","""เขาพูดกว้างๆ เกี่ยวกับหัวข้อต่างๆ"""
bug,บั๊ก,n.,"""There's a bug in the computer program.""","""มีข้อผิดพลาดในโปรแกรมคอมพิวเตอร์"""
cable,สายเคเบิล,n.,"""Connect the TV to the cable box.""","""เชื่อมต่อทีวีเข้ากับกล่องเคเบิล"""
calculate,คำนวณ,v.,"""I'll calculate the total cost for you.""","""ฉันจะคำนวณต้นทุนทั้งหมดให้คุณ"""
cancel,ยกเลิก,v.,"""We had to cancel our plans due to the rain.""","""เราต้องยกเลิกแผนของเราเนื่องจากฝนตก"""
cancer,มะเร็ง,n.,"""Many people have been affected by cancer.""","""หลายคนได้รับผลกระทบจากโรคมะเร็ง"""
capable,มีความสามารถ,adj.,"""She is capable of handling complex tasks.""","""เธอสามารถจัดการงานที่ซับซ้อนได้"""
capacity,ความจุ,n.,"""The stadium has a capacity of 20,000 spectators.""","""สนามกีฬาแห่งนี้มีความจุผู้ชม 20,000 คน"""
capture,การจับกุม,v./ n.,"""Capture the beauty of the sunset in your photograph.""","""เก็บภาพความงดงามของพระอาทิตย์ตกไว้ในภาพถ่ายของคุณ"""
cast,หล่อ,n./ v.,"""The actor was cast in the leading role.""","""นักแสดงได้รับเลือกให้รับบทนำ"""
catch,จับ,n.,"""Her colorful dress caught the eye of everyone at the party.""","""ชุดเดรสสีสันสดใสของเธอดึงดูดสายตาทุกคนในงานปาร์ตี้"""
cell,เซลล์,n.,"""The cell is the basic unit of life.""","""เซลล์เป็นหน่วยพื้นฐานของชีวิต"""
chain,โซ่,v.,"""They formed a chain by holding hands.""","""พวกเขาสร้างโซ่โดยการจับมือกัน"""
chair,เก้าอี้,v.,"""Please have a seat in the chair.""","""กรุณานั่งบนเก้าอี้"""
chairman,ประธาน,n.,"""The chairman of the company gave a speech.""","""ประธานบริษัทกล่าวสุนทรพจน์"""
challenge,ท้าทาย,v.,"""Overcoming challenges makes us stronger.""","""การเอาชนะความท้าทายทำให้เราแข็งแกร่งขึ้น"""
characteristic,ลักษณะเฉพาะ,n./ adj.,"""Honesty is a characteristic of a good person.""","""ความซื่อสัตย์เป็นคุณลักษณะของคนดี"""
chart,แผนภูมิ,v,"""She created a chart to visualize the data.""","""เธอสร้างแผนภูมิเพื่อแสดงข้อมูลเป็นภาพ"""
cabin,ห้องโดยสาร,n.,"""The cozy cabin in the woods was perfect for a weekend getaway.""","""กระท่อมแสนสบายในป่าเหมาะสำหรับการพักผ่อนช่วงวันหยุดสุดสัปดาห์"""
canal,คลอง,n.,"""The canal runs through the heart of the city.""","""มีคลองไหลผ่านใจกลางเมือง"""
candle,เทียน,n.,"""The candle flickered in the gentle breeze.""","""เทียนสั่นไหวตามสายลมอันอ่อนโยน"""
carbon,คาร์บอน,n.,"""Carbon is a common element found in nature.""","""คาร์บอนเป็นองค์ประกอบทั่วไปที่พบในธรรมชาติ"""
casual,ไม่เป็นทางการ,adj.,"""He dressed in casual attire for the party.""","""เขาแต่งกายด้วยชุดลำลองสำหรับงานปาร์ตี้"""
cave,ถ้ำ,n.,"""They explored the dark cave with flashlights.""","""พวกเขาสำรวจถ้ำอันมืดมิดด้วยไฟฉาย"""
certainty,ความมั่นใจ,n.,"""There's a sense of certainty in her words.""","""มีความรู้สึกมั่นใจในคำพูดของเธอ"""
certificate,ใบรับรอง,n.,"""She received a certificate of achievement.""","""เธอได้รับใบรับรองความสำเร็จ"""
challenging,ที่ท้าทาย,adj.,"""The exam was challenging, but he aced it.""","""ข้อสอบมันท้าทายแต่เขาก็ทำได้"""
championship,การแข่งขันชิงแชมป์,n.,"""The championship game ended in a tie.""","""เกมชิงแชมป์จบลงด้วยการเสมอกัน"""
charming,มีเสน่ห์,adj.,"""The picturesque village was charming.""","""หมู่บ้านที่งดงามมีเสน่ห์"""
chase,ไล่ล่า,v./ n.,"""He tried to chase after the thief.""","""เขาพยายามไล่ตามโจร"""
cheek,แก้ม,n.,"""She kissed him on the cheek.""","""เธอจูบเขาที่แก้ม"""
cheer,เชียร์,v./ n.,"""The crowd erupted in cheer when their team won.""","""ฝูงชนต่างส่งเสียงเชียร์เมื่อทีมของพวกเขาชนะ"""
choir,คณะนักร้องประสานเสียง,n.,"""The church choir sang beautifully.""","""คณะนักร้องประสานเสียงของโบสถ์ร้องเพลงได้ไพเราะ"""
chop,สับ,v.,"""Let's chop the vegetables for dinner.""","""มาสับผักสำหรับมื้อเย็นกันเถอะ"""
circuit,วงจร,n.,"""The electrical circuit powers the lights.""","""วงจรไฟฟ้าจ่ายไฟให้แสงสว่าง"""
civilization,อารยธรรม,n.,"""Ancient civilization left behind many mysteries.""","""อารยธรรมโบราณทิ้งความลึกลับไว้มากมาย"""
clarify,ชี้แจง,v.,"""Please clarify your statement for us.""","""โปรดชี้แจงข้อความของคุณให้เราทราบ"""
classify,จำแนกประเภท,v.,"""We need to classify these documents.""","""เราจำเป็นต้องจำแนกเอกสารเหล่านี้"""
clerk,พนักงาน,n.,"""The clerk assisted customers at the store.""","""เสมียนช่วยเหลือลูกค้าที่ร้าน"""
cliff,หน้าผา,n.,"""The cliff provided a breathtaking view of the ocean.""","""หน้าผาให้ทัศนียภาพอันน่าทึ่งของมหาสมุทร"""
clinic,คลินิก,n.,"""The clinic is open for medical check-ups.""","""คลินิกเปิดให้บริการตรวจสุขภาพ"""
clip,คลิป,n.,"""Clip the papers together for organization.""","""คลิปเอกสารเข้าด้วยกันเพื่อการจัดองค์กร"""
coincidence,เหตุบังเอิญ,n.,"""It's just a coincidence that we met here.""","""เป็นเพียงเรื่องบังเอิญที่เราพบกันที่นี่"""
collector,นักสะสม,n.,"""The art collector purchased a valuable painting.""","""นักสะสมงานศิลปะซื้อภาพวาดอันมีค่า"""
colony,อาณานิคม,n.,"""The colony of ants worked together.""","""อาณานิคมของมดทำงานร่วมกัน"""
colourful,มีสีสัน,adj.,"""The garden is filled with colorful flowers.""","""สวนเต็มไปด้วยดอกไม้หลากสีสัน"""
comic,การ์ตูน,adj./ n.,"""I enjoy reading comic books.""","""ฉันชอบอ่านหนังสือการ์ตูน"""
commander,ผู้บัญชาการ,n.,"""The commander led his troops into battle.""","""ผู้บังคับบัญชานำทัพเข้าสู่สนามรบ"""
comparative,เปรียบเทียบ,adj.,"""We will do a comparative analysis of the data.""","""เราจะทำการวิเคราะห์เปรียบเทียบข้อมูล"""
completion,เสร็จสิ้น,n.,"""The completion of the project was a relief.""","""ความสำเร็จของโครงการก็โล่งใจ"""
compose,เขียน,v.,"""She will compose a heartfelt letter to express her gratitude.""","""เธอจะเขียนจดหมายจากใจเพื่อแสดงความขอบคุณ"""
composer,นักแต่งเพลง,n.,"""The chemical compound has multiple elements.""","""สารประกอบเคมีมีหลายองค์ประกอบ"""
compound,สารประกอบ,n.,"""The report provides a comprehensive overview.""","""รายงานนี้ให้ภาพรวมที่ครอบคลุม"""
comprehensive,ครอบคลุม,adj.,"""The team will comprise experts in the field.""","""ทีมงานจะประกอบด้วยผู้เชี่ยวชาญในสาขานั้นๆ"""
comprise,ประกอบด้วย,v.,"""Attendance is compulsory for the meeting.""","""การเข้าร่วมประชุมเป็นสิ่งจำเป็นสำหรับการประชุม"""
compulsory,ภาคบังคับ,adj.,"""The sidewalk is made of concrete.""","""ทางเท้าเป็นคอนกรีต"""
concrete,คอนกรีต,adj./ n.,"""He decided to confess his mistake.""","""เขาตัดสินใจสารภาพความผิดพลาดของเขา"""
confess,สารภาพ,v.,"""There's some confusion about the schedule.""","""มีความสับสนเกี่ยวกับกำหนดการ"""
confusion,ความสับสน,n.,"""Consequently, we had to reschedule the event.""","""ดังนั้นเราจึงต้องเลื่อนกำหนดการจัดงานใหม่"""
consequently,เพราะเหตุนี้,adv,"""Conservation efforts aim to protect wildlife.""","""ความพยายามในการอนุรักษ์มีจุดมุ่งหมายเพื่อปกป้องสัตว์ป่า"""
conservation,การอนุรักษ์,n.,"""The conference will address environmental issues.""","""การประชุมจะกล่าวถึงประเด็นด้านสิ่งแวดล้อม"""
considerable,มาก,adj.,"""The project required a considerable amount of time and effort.""","""โครงการนี้ต้องใช้เวลาและความพยายามอย่างมาก"""
considerably,อย่างมาก,adv.,"""His skills improved considerably over the years.""","""ทักษะของเขาพัฒนาขึ้นอย่างมากในช่วงหลายปีที่ผ่านมา"""
consistently,อย่างสม่ำเสมอ,adv.,"""She consistently delivers high-quality work.""","""เธอส่งมอบงานคุณภาพสูงอย่างต่อเนื่อง"""
