Word,Translation,Part of Speech,Example Sentence,Translation
breakthrough,ความก้าวหน้า,n.,The discovery was a scientific breakthrough.,การค้นพบนี้เป็นความก้าวหน้าทางวิทยาศาสตร์
breed,พันธุ์,v./ n.,They plan to breed horses on the farm.,พวกเขาวางแผนที่จะเลี้ยงม้าในฟาร์ม
broadband,บรอดแบนด์,n.,High-speed broadband internet is essential.,อินเทอร์เน็ตบรอดแบนด์ความเร็วสูงถือเป็นสิ่งสำคัญ
browser,เบราว์เซอร์,n.,I need to update my web browser.,ฉันต้องอัปเดตเว็บเบราว์เซอร์ของฉัน
brutal,โหดร้าย,adj.,The battle was brutal and intense.,การต่อสู้เป็นไปอย่างดุเดือดและเข้มข้น
buck,เจ้าชู้,n.,I'll give you a dollar bill (buck).,ฉันจะให้เงินดอลลาร์ (บัค) แก่คุณ
buddy,เพื่อน,n.,He's been my buddy for years.,เขาเป็นเพื่อนของฉันมาหลายปีแล้ว
buffer,บัฟเฟอร์,n.,The computer has a large buffer.,คอมพิวเตอร์มีบัฟเฟอร์ขนาดใหญ่
bulk,เป็นกลุ่ม,n.,Carrying such a bulk of books is tiring.,แบกหนังสือเยอะๆ แบบนี้ก็เหนื่อยนะ
burden,ภาระ,n.,The burden of responsibility is heavy.,ภาระความรับผิดชอบก็หนัก
bureaucracy,ระบบราชการ,n.,Bureaucracy often leads to slow processes.,ระบบราชการมักนำไปสู่กระบวนการที่ช้า
burial,งานศพ,n.,The burial took place in the cemetery.,การฝังศพเกิดขึ้นในสุสาน
burst,ระเบิด,v.,The balloon burst with a loud noise.,บอลลูนก็ระเบิดเสียงดัง
cabinet,ตู้,n.,Store the dishes in the kitchen cabinet.,เก็บจานไว้ในตู้ครัว
calculation,การคำนวณ,n.,I need to do some calculations.,ฉันต้องทำการคำนวณบางอย่าง
canvas,ผ้าใบ,n.,She painted a beautiful scene on canvas.,เธอวาดภาพฉากที่สวยงามบนผืนผ้าใบ
capability,ความสามารถ,n.,His leadership capability is impressive.,ความสามารถในการเป็นผู้นำของเขาน่าประทับใจมาก
capitalism,ทุนนิยม,n.,Capitalism is the dominant economic system.,ทุนนิยมคือระบบเศรษฐกิจที่ครอบงำ
capitalist,นายทุน,adj.,The capitalist invested in the company.,นายทุนลงทุนในบริษัท
cargo,สินค้า,n.,The ship carried a cargo of goods.,เรือบรรทุกสินค้า
carriage,รถม้า,n.,The carriage was luxurious and comfortable.,รถม้านั้นหรูหราและสะดวกสบาย
carve,แกะสลัก,v.,She can carve intricate designs in wood.,เธอสามารถแกะสลักลวดลายที่ซับซ้อนด้วยไม้ได้
casino,คาสิโน,n.,The casino was filled with gamblers.,คาสิโนเต็มไปด้วยนักพนัน
casualty,ผู้เสียชีวิต,n.,The casualty rate in the war was high.,อัตราการบาดเจ็บล้มตายในสงครามอยู่ในระดับสูง
catalogue,แคตตาล็อก,n.,There's a catalogue of products available.,มีแคตตาล็อกสินค้าพร้อมจำหน่าย
cater,ตอบสนอง,v.,We need to cater for the party guests.,เราจำเป็นต้องจัดเลี้ยงแขกที่มาร่วมงาน
cattle,วัว,n.,The cattle grazed in the meadow.,วัวกินหญ้าอยู่ในทุ่งหญ้า
cautious,ระมัดระวัง,adj.,Be cautious when crossing the street.,ระมัดระวังในการข้ามถนน
cease,หยุด,v.,Cease all activities immediately.,ยุติกิจกรรมทั้งหมดทันที
cemetery,สุสาน,n.,The cemetery is a peaceful place.,สุสานเป็นสถานที่อันเงียบสงบ
chamber,ห้อง,n.,The meeting took place in a chamber.,การประชุมเกิดขึ้นในห้อง
chaos,ความวุ่นวาย,n.,The protest resulted in chaos downtown.,การประท้วงส่งผลให้เกิดความวุ่นวายในตัวเมือง
characterize,ลักษณะ,v.,How would you characterize her personality?,คุณจะกำหนดลักษณะนิสัยของเธออย่างไร?
charm,เสน่ห์,n.,His charm won over the entire room.,เสน่ห์ของเขาชนะไปทั่วทั้งห้อง
charter,กฎบัตร,n.,We rented a charter bus for the trip.,เราเช่ารถบัสเหมาลำสำหรับการเดินทาง
chronic,เรื้อรัง,adj.,His chronic illness required constant care.,การเจ็บป่วยเรื้อรังของเขาต้องได้รับการดูแลอย่างต่อเนื่อง
chunk,ก้อน,n.,Please cut me a chunk of that cake.,กรุณาตัดเค้กชิ้นนั้นให้ฉันหน่อย
circulate,หมุนเวียน,v.,Let's circulate this memo to all employees.,มาเผยแพร่บันทึกนี้ให้กับพนักงานทุกคน
civic,พลเมือง,adj.,Civic engagement is important for democracy.,การมีส่วนร่วมของพลเมืองเป็นสิ่งสำคัญสำหรับประชาธิปไตย
clarity,ความชัดเจน,n.,Her explanation provided clarity on the issue.,คำอธิบายของเธอให้ความชัดเจนในประเด็นนี้
clash,การปะทะกัน,n.,The clash of opinions led to a heated debate.,การปะทะกันของความคิดเห็นทำให้เกิดการอภิปรายอย่างดุเดือด
classification,การจำแนกประเภท,n.,The classification of species is complex.,การจำแนกประเภทมีความซับซ้อน
cling,เกาะติด,v.,I cling to the memories of our vacation.,ฉันยึดติดกับความทรงจำในวันหยุดของเรา
closure,ปิด,n.,The closure of the factory affected many workers.,การปิดโรงงานส่งผลกระทบต่อคนงานจำนวนมาก
cluster,กลุ่ม,n.,A cluster of stars formed a beautiful constellation.,กระจุกดาวก่อตัวเป็นกลุ่มดาวที่สวยงาม
coalition,แนวร่วม,n.,Let's form a coalition to address the issue.,เรามาจัดตั้งแนวร่วมเพื่อแก้ไขปัญหานี้กันเถอะ
coastal,ชายฝั่งทะเล,adj.,We enjoyed a coastal vacation by the beach.,เราสนุกกับวันหยุดริมชายฝั่งริมชายหาด
cocktail,ค็อกเทล,n.,He mixed up a delicious cocktail for us.,เขาผสมค็อกเทลแสนอร่อยให้เรา
cognitive,ความรู้ความเข้าใจ,adj.,Cognitive abilities decline with age.,ความสามารถในการรับรู้ลดลงตามอายุ
coincide,ตรงกัน,v.,"Our schedules coincided, so we met for lunch.",ตารางงานของเราตรงกัน ดังนั้นเราจึงนัดกินข้าวเที่ยงกัน
collaborate,ร่วมมือ,v.,We should collaborate on this project.,เราควรร่วมมือกันในโครงการนี้
collective,โดยรวม,adj.,Collective effort is needed to solve this problem.,จำเป็นต้องใช้ความพยายามร่วมกันเพื่อแก้ไขปัญหานี้
collision,การชนกัน,n.,The collision between the two cars was frightening.,การชนกันระหว่างรถสองคันนั้นช่างน่ากลัว
colonial,อาณานิคม,adj.,The colonial era had a significant impact on history.,ยุคอาณานิคมมีผลกระทบอย่างมากต่อประวัติศาสตร์
combat,การต่อสู้,n./ v.,The soldiers were prepared for combat.,ทหารก็เตรียมพร้อมออกรบ
commence,เริ่มต้น,v.,The event will commence at 9 AM sharp.,กิจกรรมจะเริ่มเวลา 9.00 น. ตรง
commerce,การค้าขาย,n.,Commerce drives the global economy.,การค้าขับเคลื่อนเศรษฐกิจโลก
commissioner,กรรมาธิการ,n.,The commissioner addressed the concerns of the citizens.,ผบ.ตร.กล่าวถึงความกังวลของประชาชน
commodity,สินค้าโภคภัณฑ์,n.,Oil is a valuable commodity in today's world.,น้ำมันเป็นสินค้าโภคภัณฑ์ที่มีคุณค่าในโลกปัจจุบัน
companion,สหาย,n.,She has been my loyal companion for years.,เธอเป็นเพื่อนที่ซื่อสัตย์ของฉันมานานหลายปี
comparable,เทียบเคียงได้,adj.,The prices of the two products are comparable.,ราคาของผลิตภัณฑ์ทั้งสองสามารถเทียบเคียงได้
compassion,ความเห็นอกเห็นใจ,n.,Her compassion for animals led her to volunteer at a shelter.,ความเห็นอกเห็นใจต่อสัตว์ต่างๆ ของเธอทำให้เธอไปอาสาที่สถานสงเคราะห์
compel,บังคับ,v.,I felt compelled to help those in need.,ฉันรู้สึกว่าต้องช่วยเหลือคนตกทุกข์ได้ยาก
compensate,ชดเชย,v.,He received compensation for his injuries.,เขาได้รับค่าชดเชยสำหรับอาการบาดเจ็บของเขา
competence,ความสามารถ,n.,Competence in coding is essential for this job.,ความสามารถในการเขียนโค้ดเป็นสิ่งจำเป็นสำหรับงานนี้
compile,รวบรวม,v.,We need to compile a report on the project.,เราจำเป็นต้องรวบรวมรายงานเกี่ยวกับโครงการ
complement,เสริม,v.,Your positive attitude complements the team.,ทัศนคติเชิงบวกของคุณช่วยเสริมทีม
complexity,ความซับซ้อน,n.,The complexity of the issue made it challenging to solve.,ความซับซ้อนของปัญหาทำให้ยากต่อการแก้ไข
compliance,การปฏิบัติตาม,n.,Compliance with safety regulations is crucial.,การปฏิบัติตามกฎระเบียบด้านความปลอดภัยเป็นสิ่งสำคัญ
complication,ภาวะแทรกซ้อน,n.,Dealing with the legal issues added complication.,การจัดการกับประเด็นทางกฎหมายทำให้เกิดความยุ่งยากเพิ่มขึ้น
comply,ปฏิบัติตาม,v.,Please comply with the company's policies.,โปรดปฏิบัติตามนโยบายของบริษัท
composition,องค์ประกอบ,n.,The composition of the painting is stunning.,องค์ประกอบของภาพวาดนั้นน่าทึ่งมาก
compromise,ประนีประนอม,n./ v.,Let's reach a compromise that works for everyone.,เรามาบรรลุการประนีประนอมที่เหมาะกับทุกคนกันเถอะ
compute,คำนวณ,v.,We can compute the results using this formula.,เราสามารถคำนวณผลลัพธ์โดยใช้สูตรนี้
conceal,ปกปิด,v.,He tried to conceal his surprise.,เขาพยายามปกปิดความประหลาดใจของเขา
concede,ยอมรับ,v.,I concede that you were right all along.,ฉันยอมรับว่าคุณพูดถูกมาตลอด
conceive,ตั้งครรภ์,v.,They couldn't conceive of a better plan.,พวกเขาไม่สามารถคิดแผนการที่ดีกว่านี้ได้
concession,สัมปทาน,n.,The concession stand offers snacks and drinks.,แผงรับสัมปทานให้บริการของว่างและเครื่องดื่ม
condemn,ประณาม,v.,The court may condemn the criminal's actions.,ศาลอาจประณามการกระทำของอาชญากร
confer,หารือ,v.,Let's confer and decide on the next steps.,มาหารือและตัดสินใจในขั้นตอนต่อไป
confession,คำสารภาพ,n.,His confession surprised everyone in the room.,คำสารภาพของเขาทำให้ทุกคนในห้องประหลาดใจ
configuration,การกำหนดค่า,n.,The configuration of the software is customizable.,การกำหนดค่าของซอฟต์แวร์สามารถปรับแต่งได้
confine,จำกัด,v.,They had to confine the aggressive dog.,พวกเขาต้องกักขังสุนัขก้าวร้าว
confirmation,การยืนยัน,n.,The confirmation email will be sent shortly.,อีเมลยืนยันจะถูกส่งในไม่ช้า
confront,เผชิญหน้า,v.,I had to confront my fears to overcome them.,ฉันต้องเผชิญกับความกลัวเพื่อเอาชนะมัน
congratulate,ขอแสดงความยินดี,v.,I want to congratulate you on your success.,ฉันอยากจะแสดงความยินดีกับคุณกับความสำเร็จของคุณ
congregation,การชุมนุม,n.,The congregation gathered for the Sunday service.,ที่ประชุมรวมตัวกันเพื่อรับใช้วันอาทิตย์
congressional,รัฐสภา,adj.,The congressional elections are approaching.,ใกล้ถึงการเลือกตั้งรัฐสภาแล้ว
conquer,พิชิต,v.,Alexander the Great sought to conquer vast territories.,อเล็กซานเดอร์มหาราชพยายามพิชิตดินแดนอันกว้างใหญ่
conscience,มโนธรรม,n.,My conscience is clear; I did nothing wrong.,มโนธรรมของฉันชัดเจน ฉันไม่ได้ทำอะไรผิด
consecutive,ติดต่อกัน,adj.,He won consecutive championships in a row.,เขาคว้าแชมป์ติดต่อกันได้
consensus,ฉันทามติ,n.,The decision was made by consensus.,การตัดสินใจทำโดยฉันทามติ
consent,ยินยอม,n./ v.,We need your consent to proceed.,เราต้องการความยินยอมจากคุณเพื่อดำเนินการต่อ
conserve,อนุรักษ์,v.,Let's conserve energy to protect the environment.,มาอนุรักษ์พลังงานเพื่อปกป้องสิ่งแวดล้อมกันเถอะ
consistency,ความสม่ำเสมอ,n.,Consistency is key in achieving your goals.,ความสม่ำเสมอเป็นกุญแจสำคัญในการบรรลุเป้าหมายของคุณ
consolidate,รวม,v.,We should consolidate our efforts for better results.,เราควรรวมความพยายามของเราเพื่อผลลัพธ์ที่ดีกว่า
constituency,เขตเลือกตั้ง,n.,The local constituency elected a new representative.,เขตเลือกตั้งท้องถิ่นได้เลือกผู้แทนคนใหม่
