Word,Translation
clip,คลิป
coincidence,เหตุบังเอิญ
collector,นักสะสม
colony,อาณานิคม
colourful,มีสีสัน
comic,การ์ตูน
commander,ผู้บัญชาการ
comparative,เปรียบเทียบ
completion,เสร็จสิ้น
compose,เขียน
composer,นักแต่งเพลง
compound,สารประกอบ
comprehensive,ครอบคลุม
comprise,ประกอบด้วย
compulsory,ภาคบังคับ
concrete,คอนกรีต
confess,สารภาพ
confusion,ความสับสน
consequently,เพราะเหตุนี้
conservation,การอนุรักษ์
considerable,มาก
considerably,อย่างมาก
consistently,อย่างสม่ำเสมอ
conspiracy,การกบฏ
consult,ปรึกษา
consultant,ที่ปรึกษา
consumption,การบริโภค
controversial,เป็นที่ถกเถียง
controversy,การโต้เถียง
convenience,ความสะดวก
convention,การประชุม
conventional,ธรรมดา
convey,ถ่ายทอด
convincing,น่าเชื่อ
cope,รับมือ
corporation,บริษัท
corridor,ทางเดิน
counter,เคาน์เตอร์
coverage,ความคุ้มครอง
crack,แตก
craft,งานฝีมือ
creativity,ความคิดสร้างสรรค์
critically,วิกฤต
cruise,ล่องเรือ
cue,คิว
curious,อยากรู้
curriculum,หลักสูตร
cute,น่ารัก
chief,หัวหน้า
circumstance,สถานการณ์
cite,อ้างอิง
citizen,พลเมือง
civil,พลเรือน
classic,คลาสสิค
closely,อย่างใกล้ชิด
collapse,ทรุด
combination,การผสมผสาน
comfort,ปลอบโยน
command,สั่งการ
commission,คณะกรรมการ
commitment,ความมุ่งมั่น
committee,คณะกรรมการ
commonly,อย่างธรรมดา
complex,ซับซ้อน
complicated,ที่ซับซ้อน
component,ส่วนประกอบ
concentration,ความเข้มข้น
concept,แนวคิด
concern,กังวล
concerned,น่ากังวล
conduct,จัดการ
confidence,ความมั่นใจ
conflict,ขัดแย้ง
confusing,สับสน
conscious,มีสติ
conservative,ซึ่งอนุรักษ์นิยม
consideration,การพิจารณา
consistent,สม่ำเสมอ
constant,คงที่
constantly,อย่างสม่ำเสมอ
construct,สร้าง
construction,การก่อสร้าง
contemporary,ร่วมสมัย
contest,การประกวด
contract,สัญญา
contribute,มีส่วนช่วย
contribution,ผลงาน
convert,แปลง
convinced,มั่นใจ
core,แกนกลาง
corporate,ขององค์กร
council,สภา
county,เขต
courage,ความกล้าหาญ
crash,ชน
creation,การสร้าง
creature,สิ่งมีชีวิต
credit,เครดิต
crew,ลูกทีม
crisis,วิกฤติ
criterion,เกณฑ์
critic,นักวิจารณ์
critical,วิกฤต
criticism,การวิพากษ์วิจารณ์
criticize,วิจารณ์
crop,ครอบตัด
crucial,สำคัญ
cry,ร้องไห้
cure,รักษา
current,ปัจจุบัน
curve,เส้นโค้ง
curved,โค้ง
date,วันที่
debate,อภิปราย
debt,หนี้
decent,เหมาะสม
declare,ประกาศ
decline,ปฏิเสธ
decoration,การตกแต่ง
decrease,ลด
deeply,อย่างลึกซึ้ง
defeat,ความพ่ายแพ้
defence,ป้องกัน
defend,ปกป้อง
delay,ล่าช้า
deliberate,โดยเจตนา
deliberately,จงใจ
delight,ความสุข
delighted,ดีใจ
delivery,จัดส่ง
demand,ความต้องการ
demonstrate,สาธิต
deny,ปฏิเสธ
depressed,หดหู่
depressing,ตกต่ำ
depth,ความลึก
desert,ทะเลทราย
deserve,สมควรได้รับ
desire,ความต้องการ
desperate,หมดหวัง
detail,รายละเอียด
detailed,รายละเอียด
detect,ตรวจจับ
dig,ขุด
disc,แผ่นดิสก์
discipline,การลงโทษ
discount,การลดราคา
dishonest,ไม่ซื่อสัตย์
dismiss,อนุญาตให้ออกไป
display,แสดง
distribute,แจกจ่าย
distribution,การกระจาย
district,เขต
divide,แบ่ง
division,แผนก
document,เอกสาร
domestic,ภายในประเทศ
dominate,ครอง
downwards,ลง
dozen,โหล
draft,ร่าง
drag,ลาก
dramatic,น่าทึ่ง
dairy,ผลิตภัณฑ์นม
dare,กล้า
darkness,ความมืด
database,ฐานข้อมูล
deadline,วันกำหนดส่ง
deadly,ร้ายแรง
dealer,ตัวแทนจำหน่าย
deck,ดาดฟ้า
defender,ผู้ปกป้อง
delete,ลบ
democracy,ประชาธิปไตย
democratic,ประชาธิปไตย
demonstration,สาธิต
depart,ออกเดินทาง
dependent,ขึ้นอยู่กับ
deposit,เงินฝาก
depression,ภาวะซึมเศร้า
derive,ได้มา
desperately,หมดท่า
destruction,การทำลาย
determination,การกำหนด
devote,อุทิศ
differ,แตกต่าง
disability,ความพิการ
disabled,พิการ
disagreement,ความไม่เห็นด้วย
disappoint,ผิดหวัง
disappointment,ความผิดหวัง
discourage,กีดกัน
disorder,ความผิดปกติ
distant,ห่างไกล
distinct,แตกต่าง
distinguish,แยกแยะ
distract,กวนใจ
disturb,รบกวน
dive,ดำน้ำ
diverse,หลากหลาย
diversity,ความหลากหลาย
divorce,หย่า
dominant,ที่เด่น
donation,การบริจาค
dot,จุด
downtown,ตัวเมือง
dramatically,อย่างมาก
drought,ความแห้งแล้ง
dull,น่าเบื่อ
dump,ถ่ายโอนข้อมูล
duration,ระยะเวลา
dynamic,พลวัต
edit,แก้ไข
edition,ฉบับ
efficient,มีประสิทธิภาพ
elderly,ผู้สูงอายุ
elect,เลือก
elsewhere,ที่อื่น
emerge,โผล่ออกมา
emotional,ทางอารมณ์
emphasis,เน้น
emphasize,เน้นย้ำ
enable,เปิดใช้งาน
encounter,เผชิญ
engage,หมั้น
enhance,ยกระดับ
enquiry,สอบถามรายละเอียดเพิ่มเติม
ensure,ทำให้มั่นใจ
enthusiasm,ความกระตือรือร้น
enthusiastic,กระตือรือร้น
entire,ทั้งหมด
entirely,โดยสิ้นเชิง
equal,เท่ากัน
establish,สร้าง
estate,อสังหาริมทรัพย์
estimate,ประมาณการ
edit,แก้ไข
edition,ฉบับ
efficient,มีประสิทธิภาพ
elderly,ผู้สูงอายุ
elect,เลือก
elsewhere,ที่อื่น
emerge,โผล่ออกมา
emotional,ทางอารมณ์
emphasis,เน้น
emphasize,เน้นย้ำ
enable,เปิดใช้งาน
encounter,เผชิญ
engage,หมั้น
enhance,ยกระดับ
enquiry,สอบถามรายละเอียดเพิ่มเติม
ensure,ทำให้มั่นใจ
enthusiasm,ความกระตือรือร้น
enthusiastic,กระตือรือร้น
entire,ทั้งหมด
entirely,โดยสิ้นเชิง
equal,เท่ากัน
establish,สร้าง
estate,อสังหาริมทรัพย์
extract,สารสกัด
ethical,มีจริยธรรม
evaluate,ประเมิน
even,สม่ำเสมอ
evil,ความชั่วร้าย
examination,การตรวจสอบ
excuse,ขอโทษ
executive,ผู้บริหาร
existence,การดำรงอยู่
expectation,ความคาดหวัง
expense,ค่าใช้จ่าย
exploration,การสำรวจ
expose,เปิดเผย
extend,ขยาย
extent,ขอบเขต
external,ภายนอก
extraordinary,พิเศษ
extreme,สุดขีด
fabric,ผ้า
fabulous,เลิศ
facility,สิ่งอำนวยความสะดวก
failed,ล้มเหลว
failure,ความล้มเหลว
faith,ศรัทธา
fake,ปลอม
fame,ชื่อเสียง
fantasy,แฟนตาซี
fare,ค่าโดยสาร
fault,ความผิดพลาด
favour,โปรดปราน
feather,ขนนก
federal,รัฐบาลกลาง
feedback,ข้อเสนอแนะ
feed,ให้อาหาร
feel,รู้สึก
fee,ค่าธรรมเนียม
fellow,เพื่อน
fever,ไข้
figure,รูป
file,ไฟล์
finance,การเงิน
finding,การค้นหา
firefighter,นักดับเพลิง
firework,ดอกไม้เพลิง
firm,บริษัท
firmly,อย่างมั่นคง
fix,แก้ไข
flame,เปลวไฟ
flash,แฟลช
flavour,รสชาติ
flexible,ยืดหยุ่นได้
float,ลอย
fold,พับ
following,กำลังติดตาม
fond,รัก
fool,คนโง่
forbid,ห้าม
forecast,พยากรณ์
forgive,ให้อภัย
formation,รูปแบบ
format,รูปแบบ
former,อดีต
formerly,เดิมที
fortunate,โชคดี
fortune,โชค
forum,ฟอรั่ม
forward,ซึ่งไปข้างหน้า
fossil,ฟอสซิล
foundation,พื้นฐาน
founder,ผู้สร้าง
found,พบ
fraction,เศษส่วน
fragment,ส่วน
framework,กรอบ
fraud,การฉ้อโกง
freedom,เสรีภาพ
frequent,บ่อย
fuel,เชื้อเพลิง
fulfil,เติมเต็ม
function,การทำงาน
fundamental,พื้นฐาน
fundamentally,โดยพื้นฐานแล้ว
funding,เงินทุน
fund,กองทุน
furious,กราดเกรี้ยว
furthermore,นอกจากนี้
gain,ได้รับ
gang,แก๊ง
gender,เพศ
gene,ยีน
generate,สร้าง
genius,อัจฉริยะ
genre,ประเภท
genuine,แท้จริง
genuinely,อย่างแท้จริง
gesture,ท่าทาง
gig,กิ๊ก
globalization,โลกาภิวัตน์
globe,โลก
golden,ทอง
goodness,ความดี
gorgeous,งดงาม
governor,ผู้ว่าราชการจังหวัด
govern,ปกครอง
grab,คว้า
grade,ระดับ
gradually,ค่อยๆ
grand,ยิ่งใหญ่
grant,ยินยอม
graphic,กราฟิก
graphics,กราฟิก
greatly,อย่างมาก
greenhouse,เรือนกระจก
grocery,ร้านขายของชำ
guarantee,รับประกัน
guideline,แนวทาง
habitat,ที่อยู่อาศัย
handle,รับมือ
harbour,ท่าเรือ
harmful,เป็นอันตราย
harm,อันตราย
headquarters,สำนักงานใหญ่
healthcare,ดูแลสุขภาพ
heal,รักษา
hearing,การได้ยิน
heaven,สวรรค์
heel,ส้น
hell,นรก
helmet,หมวกนิรภัย
hence,เพราะฉะนั้น
herb,สมุนไพร
hesitate,ลังเล
hidden,ที่ซ่อนอยู่
high,สูง
highway,ทางหลวง
hilarious,ตลกขบขัน
hip,สะโพก
hire,จ้าง
historian,นักประวัติศาสตร์
hold,ถือ
hollow,กลวง
holy,ศักดิ์สิทธิ์
homeless,คนไร้บ้าน
honesty,ความซื่อสัตย์
honour,ให้เกียรติ
hook,ตะขอ
hopefully,หวังว่า
host,เจ้าภาพ
household,ครัวเรือน
house,บ้าน
housing,ที่อยู่อาศัย
humorous,มีอารมณ์ขัน
humour,อารมณ์ขัน
hunger,ความหิว
hunting,การล่าสัตว์
hunt,ล่า
hurt,เจ็บ
hypothesis,สมมติฐาน
icon,ไอคอน
ideal,ในอุดมคติ
identical,เหมือนกัน
illusion,ภาพลวงตา
illustrate,แสดงให้เห็น
imagination,จินตนาการ
immigration,การตรวจคนเข้าเมือง
immune,มีภูมิคุ้มกัน
impatient,ใจร้อน
implement,ดำเนินการ
implication,ความหมาย
imply,บอกเป็นนัย
impose,กำหนด
impressed,ประทับใจ
impress,ประทับใจ
incentive,แรงจูงใจ
inch,นิ้ว
incident,เหตุการณ์
income,รายได้
incorporate,รวมเข้าด้วยกัน
increasingly,มากขึ้นเรื่อยๆ
independence,ความเป็นอิสระ
index,ดัชนี
indication,ข้อบ่งชี้
industrial,ทางอุตสาหกรรม
inevitable,หลีกเลี่ยงไม่ได้
inevitably,อย่างหลีกเลี่ยงไม่ได้
infection,การติดเชื้อ
infer,อนุมาน
inflation,เงินเฟ้อ
info,ข้อมูล
inform,แจ้ง
infrastructure,โครงสร้างพื้นฐาน
inhabitant,ผู้อยู่อาศัย
inherit,สืบทอด
initial,อักษรย่อ
inner,ภายใน
innovative,นวัตกรรม
input,ป้อนข้อมูล
insert,แทรก
insight,ข้อมูลเชิงลึก
insist,ยืนกราน
inspector,สารวัตร
inspire,สร้างแรงบันดาลใจ
install,ติดตั้ง
instance,ตัวอย่าง
institute,สถาบัน
insurance,ประกันภัย
integrate,บูรณาการ
intellectual,ทางปัญญา
intended,ตั้งใจ
intense,เข้มข้น
interact,มีปฏิสัมพันธ์
internal,ภายใน
interpret,ตีความ
interrupt,ขัดจังหวะ
interval,ช่วงเวลา
invade,บุก
invasion,การบุกรุก
investor,นักลงทุน
isolate,แยกออกจากกัน
issue,ปัญหา
jail,คุก
jet,เจ็ท
joint,ข้อต่อ
journalism,สื่อสารมวลชน
judgement,การตัดสิน
junior,จูเนียร์
jury,คณะลูกขุน
justice,ความยุติธรรม
justify,ปรับให้เหมาะสม
kit,ชุด
labour,แรงงาน
ladder,บันไดปีน
landing,ลงจอด
landscape,ภูมิประเทศ
lane,ช่องทาง
largely,ส่วนใหญ่
lately,เมื่อเร็วๆ นี้
launch,ปล่อย
leadership,ความเป็นผู้นำ
leaflet,ใบปลิว
league,ลีก
lean,เอียง
leave,ออกจาก
legend,ตำนาน
lens,เลนส์
level,ระดับ
licence,ใบอนุญาต
lifetime,ตลอดชีวิต
lighting,แสงสว่าง
likewise,เช่นเดียวกัน
limited,ถูก จำกัด
literally,อย่างแท้จริง
literary,วรรณกรรม
litre,ลิตร
lively,มีชีวิตชีวา
load,โหลด
loan,เงินกู้
logical,ตรรกะ
long-term,ระยะยาว
loose,หลวม
lord,ท่านลอร์ด
lottery,หวย
lower,ต่ำกว่า
loyal,ซื่อสัตย์
lung,ปอด
lyric,เนื้อเพลง
magnificent,งดงาม
maintain,บำรุงรักษา
majority,ส่วนใหญ่
manufacture,การผลิต
marathon,มาราธอน
margin,ระยะขอบ
marker,เครื่องหมาย
martial,การต่อสู้
massive,มโหฬาร
mass,ประชาชนพลเมือง
master,ผู้เชี่ยวชาญ
matching,การจับคู่
mate,เพื่อน
material,วัสดุ
maximum,ขีดสุด
mayor,นายกเทศมนตรี
means,วิธี
measurement,การวัด
mechanical,เครื่องกล
mechanic,ช่างเครื่อง
mechanism,กลไก
medal,เหรียญ
medication,ยา
medium,ปานกลาง
melt,ละลาย
membership,สมาชิกภาพ
memorable,น่าจดจำ
metaphor,อุปมา
military,ทหาร
mineral,แร่
miner,คนขุดแร่
minimum,ขั้นต่ำ
minister,รัฐมนตรี
minor,ส่วนน้อย
miserable,น่าเวทนา
mission,ภารกิจ
mistake,ความผิดพลาด
mixed,ผสม
model,แบบอย่าง
mode,โหมด
modest,เจียมเนื้อเจียมตัว
modify,แก้ไข
monitor,เฝ้าสังเกต
monster,สัตว์ประหลาด
monthly,รายเดือน
monument,อนุสาวรีย์
moral,ศีลธรรม
moreover,นอกจากนี้
mortgage,จำนอง
mosque,มัสยิด
motion,การเคลื่อนไหว
motivate,กระตุ้น
motor,เครื่องยนต์
mount,เมานต์
moving,การย้าย
multiple,หลายรายการ
mysterious,ลึกลับ
myth,ตำนาน
naked,เปลือยเปล่า
narrow,แคบ
nasty,น่ารังเกียจ
national,ระดับชาติ
navigation,การนำทาง
nearby,ใกล้เคียง
neat,ประณีต
necessity,ความจำเป็น
negative,เชิงลบ
negotiate,ต่อรอง
negotiation,การเจรจาต่อรอง
nerve,เส้นประสาท
neutral,เป็นกลาง
nevertheless,แต่ถึงอย่างไร
newly,ใหม่
nightmare,ฝันร้าย
norm,บรรทัดฐาน
notebook,สมุดบันทึก
notion,ความคิด
novelist,นักประพันธ์
nowadays,ทุกวันนี้
numerous,มากมาย
nursing,การพยาบาล
nutrition,โภชนาการ
obesity,โรคอ้วน
obey,เชื่อฟัง
object,วัตถุ
obligation,ภาระผูกพัน
observation,การสังเกต
observe,สังเกต
obstacle,อุปสรรค
obtain,รับ
occasionally,เป็นครั้งคราว
occupation,อาชีพ
occupy,ครอบครอง
offence,ความผิด
offender,ผู้กระทำความผิด
offend,รุกราน
offensive,ก้าวร้าว
official,เป็นทางการ
ongoing,อย่างต่อเนื่อง
opening,เปิด
openly,อย่างเปิดเผย
opera,โอเปร่า
operate,ดำเนินงาน
opponent,คู่ต่อสู้
oppose,ต่อต้าน
optimistic,มองโลกในแง่ดี
orchestra,วงดุริยางค์
organic,โดยธรรมชาติ
organ,อวัยวะ
origin,ต้นกำเนิด
otherwise,มิฉะนั้น
outcome,ผลที่ได้
outer,ด้านนอก
outfit,ชุดเสื้อผ้า
outline,โครงร่าง
output,เอาท์พุท
outstanding,โดดเด่น
overall,โดยรวม
overcome,เอาชนะ
overnight,ค้างคืน
overseas,ในต่างประเทศ
owe,เป็นหนี้
ownership,ความเป็นเจ้าของ
pace,ก้าว
package,บรรจุุภัณฑ์
packet,แพ็กเก็ต
palm,ปาล์ม
panel,แผงหน้าปัด
panic,ตื่นตกใจ
parade,ขบวนพาเหรด
parallel,ขนาน
parliament,รัฐสภา
participant,ผู้เข้าร่วม
partly,บางส่วน
partnership,ห้างหุ้นส่วน
part-time,ไม่เต็มเวลา
passage,ทางเดิน
passionate,หลงใหล
password,รหัสผ่าน
patience,ความอดทน
patient,อดทน
pause,หยุดชั่วคราว
peer,เพื่อน
penalty,การลงโทษ
perceive,รับรู้
permanent,ถาวร
permit,อนุญาต
perspective,ทัศนคติ
phase,เฟส
phenomenon,ปรากฏการณ์
philosophy,ปรัชญา
pick,เลือก
picture,รูปภาพ
pile,กอง
pill,ยา
pitch,ขว้าง
pity,สงสาร
placement,ตำแหน่ง
plain,ธรรมดา
plot,พล็อต
pointed,ชี้
popularity,ความนิยม
portion,ส่วน
pose,ท่าทาง
positive,เชิงบวก
possess,มี
potential,ศักยภาพ
power,พลัง
praise,ชื่นชม
precede,นำหน้า
precise,แม่นยำ
predictable,คาดเดาได้
preference,ความพึงใจ
pregnant,ตั้งครรภ์
preparation,การตระเตรียม
presence,การมีอยู่
preserve,อนุรักษ์
price,ราคา
pride,ความภาคภูมิใจ
primarily,เป็นหลัก
prime,สำคัญ
principle,หลักการ
print,พิมพ์
prior,ก่อน
privacy,ความเป็นส่วนตัว
probability,ความน่าจะเป็น
probable,น่าจะเป็น
procedure,ขั้นตอน
proceed,ดำเนินการ
process,กระบวนการ
produce,ผลิต
professional,มืออาชีพ
programming,การเขียนโปรแกรม
progress,ความคืบหน้า
prohibit,ห้าม
project,โครงการ
promising,มีแนวโน้ม
promotion,การส่งเสริม
prompt,พร้อมท์
proof,การพิสูจน์
proportion,สัดส่วน
proposal,ข้อเสนอ
propose,เสนอ
prospect,โอกาส
protection,การป้องกัน
protein,โปรตีน
protester,ผู้ประท้วง
psychology,จิตวิทยา
publicity,การเผยแพร่
publishing,การเผยแพร่
punk,พังค์
pupil,นักเรียน
purchase,ซื้อ
pure,บริสุทธิ์
purely,หมดจด
pursuit,การแสวงหา
puzzle,ปริศนา
questionnaire,แบบสอบถาม
racist,เหยียดผิว
radiation,รังสี
rail,ทางรถไฟ
random,สุ่ม
range,พิสัย
rank,อันดับ
rapid,รวดเร็ว
rate,ประเมิน
rat,หนู
raw,ดิบ
reach,เข้าถึง
realistic,เหมือนจริง
reasonable,มีเหตุผล
rebuild,สร้างใหม่
recall,จำ
receiver,ผู้รับ
recession,ภาวะถดถอย
reckon,นับ
recognition,การยอมรับ
recover,ฟื้นตัว
recruitment,การสรรหาบุคลากร
recruit,สรรหาคน
reduction,การลดน้อยลง
referee,ผู้ตัดสิน
refugee,ผู้ลี้ภัย
regard,คำนึงถึง
regional,ในระดับภูมิภาค
register,ลงทะเบียน
registration,การลงทะเบียน
regret,เสียใจ
regulate,ควบคุม
regulation,ระเบียบข้อบังคับ
reinforce,เสริมสร้าง
relatively,ค่อนข้าง
relevant,ที่เกี่ยวข้อง
relief,การบรรเทา
relieve,บรรเทา
rely,พึ่งพา
remark,ข้อสังเกต
reporting,การรายงาน
representative,ตัวแทน
reputation,ชื่อเสียง
requirement,ความต้องการ
rescue,กู้ภัย
reserve,จอง
resident,ถิ่นที่อยู่
resign,ลาออก
resist,ต้านทาน
resolution,ปณิธาน
resolve,แก้ไข
resort,รีสอร์ท
restore,คืนค่า
restriction,ข้อ จำกัด
restrict,จำกัด
retail,ขายปลีก
retain,เก็บไว้
retirement,เกษียณอายุ
reveal,เปิดเผย
revenue,รายได้
revision,การแก้ไข
reward,รางวัล
rhythm,จังหวะ
ridiculous,น่าขัน
rid,กำจัด
risky,เสี่ยง
rival,คู่แข่ง
robbery,การปล้น
rob,ปล้น
rocket,จรวด
romance,โรแมนติก
root,ราก
rose,ดอกกุหลาบ
roughly,ประมาณ
round,กลม
routine,กิจวัตรประจำวัน
rubber,ยาง
rub,ถู
ruin,ทำลาย
rural,ชนบท
rush,รีบ
sample,ตัวอย่าง
satellite,ดาวเทียม
satisfy,ทำให้พึงพอใจ
saving,ประหยัด
scale,มาตราส่วน
scandal,เรื่องอื้อฉาว
scare,ทำให้ตกใจ
scenario,สถานการณ์
schedule,กำหนดการ
scheme,โครงการ
scholar,นักวิชาการ
scratch,รอยขีดข่วน
scream,กรี๊ด
screen,หน้าจอ
seat,ที่นั่ง
sector,ภาค
secure,ปลอดภัย
seeker,ผู้แสวงหา
seek,แสวงหา
selection,การเลือก
select,เลือก
self,ตัวเอง
seminar,สัมมนา
senior,อาวุโส
sense,ความรู้สึก
sensitive,อ่อนไหว
sentence,ประโยค
sequence,ลำดับ
session,การประชุม
settle,ชำระ
severe,รุนแรง
severely,อย่างรุนแรง
shade,ร่มเงา
shadow,เงา
shallow,ตื้น
shame,ความอัปยศ
shape,รูปร่าง
shelter,ที่หลบภัย
shift,กะ
ship,เรือ
shocked,ตกใจ
shock,ช็อก
shooting,การยิง
shore,ฝั่ง
shortage,การขาดแคลน
shortly,ไม่นาน
short-term,ช่วงเวลาสั้น ๆ
shot,ยิง
sibling,พี่น้อง
signature,ลายเซ็น
significance,ความสำคัญ
significant,สำคัญ
silence,ความเงียบ
silk,ผ้าไหม
sincere,จริงใจ
skilled,มีทักษะ
skull,กะโหลกศีรษะ
slave,ทาส
slide,สไลด์
slight,เล็กน้อย
slip,ลื่น
slogan,คำขวัญ
slope,ความลาดชัน
so-called,ที่เรียกว่า
solar,แสงอาทิตย์
somehow,อย่างใด
sometime,บางครั้ง
somewhat,ค่อนข้าง
sophisticated,ช่ำชอง
soul,วิญญาณ
spare,สำรอง
specialist,ผู้เชี่ยวชาญ
specialize,เชี่ยวชาญ
species,สายพันธุ์
specify,ระบุ
spectacular,งดงาม
spectator,ผู้ชม
speculate,คาดเดา
speculation,การเก็งกำไร
speed,ความเร็ว
spice,เครื่องเทศ
spill,หก
spiritual,จิตวิญญาณ
spite,ทั้งๆที่
split,แยก
spoil,นิสัยเสีย
spokesman,โฆษก
sponsorship,การสนับสนุน
sponsor,สปอนเซอร์
sporting,กีฬา
spot,จุด
spread,การแพร่กระจาย
stable,มั่นคง
stage,เวที
stall,แผงลอย
stance,ท่าที
stand,ยืน
stare,จ้อง
starve,อดอาหาร
status,สถานะ
steady,มั่นคง
steam,ไอน้ำ
steel,เหล็ก
steep,สูงชัน
step,ขั้นตอน
sticky,เหนียว
stiff,แข็ง
stimulate,กระตุ้น
stock,คลังสินค้า
stream,ลำธาร
strengthen,เสริมสร้าง
stretch,ยืด
strict,เข้มงวด
strike,โจมตี
stroke,จังหวะ
structure,โครงสร้าง
struggle,การต่อสู้
stuff,สิ่งของ
stunning,น่าทึ่ง
subject,เรื่อง
submit,ส่ง
subsequent,ภายหลัง
suburb,ชานเมือง
suffering,ความทุกข์
sufficient,เพียงพอ
sufficiently,อย่างเพียงพอ
sum,ผลรวม
super,สุด ๆ
surgeon,ศัลยแพทย์
surround,ล้อมรอบ
survey,สำรวจ
suspect,สงสัย
suspend,ระงับ
sustainable,ที่ยั่งยืน
swallow,กลืน
swear,สาบาน
sweep,กวาด
switch,สวิตช์
sympathy,ความเห็นอกเห็นใจ
tackle,ต่อสู้
tag,แท็ก
tale,เรื่อง
tank,ถัง
tap,แตะ
target,เป้า
technological,เทคโนโลยี
teens,วัยรุ่น
temple,วัด
temporary,ชั่วคราว
tendency,แนวโน้ม
tension,ความเครียด
terms,เงื่อนไข
term,ภาคเรียน
terribly,ชะมัด
terrify,น่ากลัว
territory,อาณาเขต
terrorist,ผู้ก่อการร้าย
terror,ความหวาดกลัว
